"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"1","Saquon Barkley",PHI,"RB1","5 out of 5 stars","4 out of 5 stars","+9"
"2","Derrick Henry",BAL,"RB2","2 out of 5 stars","2 out of 5 stars","+16"
"3","Bijan Robinson",ATL,"RB3","3 out of 5 stars","5 out of 5 stars","+2"
"4","Kyren Williams",LAR,"RB4","5 out of 5 stars","3 out of 5 stars","+13"
"5","Joe Mixon",HOU,"RB5","3 out of 5 stars","3 out of 5 stars","+39"
"6","Jahmyr Gibbs",DET,"RB6","3 out of 5 stars","5 out of 5 stars","+6"
"7","Ja'Marr Chase",CIN,"WR1","3 out of 5 stars","3 out of 5 stars","0"
"8","Justin Jefferson",MIN,"WR2","3 out of 5 stars","2 out of 5 stars","-4"
"9","Kenneth Walker III",SEA,"RB7","2 out of 5 stars","2 out of 5 stars","+34"
"10","De'Von Achane",MIA,"RB8","3 out of 5 stars","3 out of 5 stars","+10"
"11","Nico Collins",HOU,"WR3","3 out of 5 stars","3 out of 5 stars","+16"
"12","A.J. Brown",PHI,"WR4","3 out of 5 stars","3 out of 5 stars","-3"
"13","Breece Hall",NYJ,"RB9","4 out of 5 stars","3 out of 5 stars","-7"
"14","Amon-Ra St. Brown",DET,"WR5","3 out of 5 stars","3 out of 5 stars","-6"
"15","Tyreek Hill",MIA,"WR6","3 out of 5 stars","3 out of 5 stars","-13"
"16","Jonathan Taylor",IND,"RB10","3 out of 5 stars","2 out of 5 stars","-5"
"17","Josh Jacobs",GB,"RB11","4 out of 5 stars","4 out of 5 stars","+2"
"18","CeeDee Lamb",DAL,"WR7","2 out of 5 stars","2 out of 5 stars","-15"
"19","Malik Nabers",NYG,"WR8","4 out of 5 stars","4 out of 5 stars","+27"
"20","James Cook",BUF,"RB12","2 out of 5 stars","3 out of 5 stars","+12"
"21","Drake London",ATL,"WR9","4 out of 5 stars","4 out of 5 stars","0"
"22","Puka Nacua",LAR,"WR10","3 out of 5 stars","3 out of 5 stars","-8"
"23","David Montgomery",DET,"RB13","3 out of 5 stars","5 out of 5 stars","+42"
"24","Aaron Jones",MIN,"RB14","3 out of 5 stars","4 out of 5 stars","+29"
"25","Lamar Jackson",BAL,"QB1","3 out of 5 stars","3 out of 5 stars","+13"
"26","Alvin Kamara",NO,"RB15","4 out of 5 stars","5 out of 5 stars","+19"
"27","DK Metcalf",SEA,"WR11","3 out of 5 stars","2 out of 5 stars","+15"
"28","Deebo Samuel Sr.",SF,"WR12","2 out of 5 stars","2 out of 5 stars","-2"
"29","James Conner",ARI,"RB16","4 out of 5 stars","5 out of 5 stars","+27"
"30","Terry McLaurin",WAS,"WR13","2 out of 5 stars","3 out of 5 stars","+33"
"31","Christian McCaffrey",SF,"RB17","4 out of 5 stars","4 out of 5 stars","-30"
"32","Brock Bowers",LV,"TE1","3 out of 5 stars","4 out of 5 stars","+58"
"33","George Kittle",SF,"TE2","3 out of 5 stars","2 out of 5 stars","+29"
"34","Tyrone Tracy Jr.",NYG,"RB18","4 out of 5 stars","2 out of 5 stars","+142"
"35","Brian Robinson Jr.",WAS,"RB19","4 out of 5 stars","4 out of 5 stars","+56"
"36","Travis Kelce",KC,"TE3","3 out of 5 stars","3 out of 5 stars","-8"
"37","Jayden Reed",GB,"WR14","2 out of 5 stars","3 out of 5 stars","+44"
"38","Garrett Wilson",NYJ,"WR15","4 out of 5 stars","3 out of 5 stars","-25"
"39","Brian Thomas Jr.",JAC,"WR16","2 out of 5 stars","2 out of 5 stars","+73"
"40","Tony Pollard",TEN,"RB20","1 out of 5 stars","3 out of 5 stars","+39"
"41","Trey McBride",ARI,"TE4","5 out of 5 stars","4 out of 5 stars","+7"
"42","D'Andre Swift",CHI,"RB21","3 out of 5 stars","2 out of 5 stars","+13"
"43","J.K. Dobbins",LAC,"RB22","2 out of 5 stars","3 out of 5 stars","+77"
"44","Cooper Kupp",LAR,"WR17","3 out of 5 stars","3 out of 5 stars","-8"
"45","Chase Brown",CIN,"RB23","2 out of 5 stars","3 out of 5 stars","+60"
"46","DeVonta Smith",PHI,"WR18","3 out of 5 stars","3 out of 5 stars","+1"
"47","Josh Allen",BUF,"QB2","3 out of 5 stars","2 out of 5 stars","-24"
"48","Tee Higgins",CIN,"WR19","3 out of 5 stars","3 out of 5 stars","+11"
"49","George Pickens",PIT,"WR20","3 out of 5 stars","3 out of 5 stars","+8"
"50","Zay Flowers",BAL,"WR21","3 out of 5 stars","3 out of 5 stars","+10"
"51","Najee Harris",PIT,"RB24","3 out of 5 stars","2 out of 5 stars","+18"
"52","Jalen Hurts",PHI,"QB3","5 out of 5 stars","4 out of 5 stars","-23"
"53","Marvin Harrison Jr.",ARI,"WR22","3 out of 5 stars","3 out of 5 stars","-38"
"54","Jayden Daniels",WAS,"QB4","2 out of 5 stars","2 out of 5 stars","+48"
"55","Cade Otton",TB,"TE5","4 out of 5 stars","4 out of 5 stars","+139"
"56","Rhamondre Stevenson",NE,"RB25","3 out of 5 stars","2 out of 5 stars","+2"
"57","Tank Dell",HOU,"WR23","3 out of 5 stars","3 out of 5 stars","+4"
"58","David Njoku",CLE,"TE6","3 out of 5 stars","2 out of 5 stars","+30"
"59","Kareem Hunt",KC,"RB26","3 out of 5 stars","2 out of 5 stars","+200"
"60","Darnell Mooney",ATL,"WR24","4 out of 5 stars","4 out of 5 stars","+109"
"61","Nick Chubb",CLE,"RB27","3 out of 5 stars","3 out of 5 stars","+33"
"62","Tank Bigsby",JAC,"RB28","2 out of 5 stars","3 out of 5 stars","+135"
"63","DeAndre Hopkins",KC,"WR25","4 out of 5 stars","3 out of 5 stars","+37"
"64","Davante Adams",NYJ,"WR26","4 out of 5 stars","3 out of 5 stars","-42"
"65","Mike Evans",TB,"WR27","4 out of 5 stars","3 out of 5 stars","-28"
"66","Bucky Irving",TB,"RB29","5 out of 5 stars","4 out of 5 stars","+98"
"67","Jordan Mason",SF,"RB30","4 out of 5 stars","4 out of 5 stars","+121"
"68","Jameson Williams",DET,"WR28","3 out of 5 stars","3 out of 5 stars","+41"
"69","Joe Burrow",CIN,"QB5","3 out of 5 stars","2 out of 5 stars","+2"
"70","Chuba Hubbard",CAR,"RB31","2 out of 5 stars","3 out of 5 stars","+48"
"71","Rico Dowdle",DAL,"RB32","4 out of 5 stars","4 out of 5 stars","+57"
"72","Jordan Love",GB,"QB6","1 out of 5 stars","2 out of 5 stars","+2"
